Date,Time,Latitude,Longitude,Type,Depth,Magnitude
3/26/1981,10:16:12,-21.588,-174.263,Earthquake,43,5.7
4/23/1981,0:30:44,-14.623,166.76,Earthquake,33,5.5
5/22/1981,2:55:22,-6.562,132.255,Earthquake,73,5.8
6/20/1981,12:31:48,-21.379,169.451,Earthquake,33,5.8
7/28/1981,3:03:22,-41.574,-73.204,Earthquake,43,5.5
8/26/1981,16:32:17,-5.343,151.476,Earthquake,74.2,5.7
9/13/1981,7:25:12,-60.843,-19.751,Earthquake,10,5.6
9/30/1981,11:53:26,37.5838333,-118.8645,Earthquake,3.126,5.9
10/17/1981,20:04:15,4.596,122.662,Earthquake,624.6,5.8
11/8/1981,21:56:11,61.809,153.666,Earthquake,33,5.6
11/29/1981,3:35:09,49.86,78.857,Nuclear Explosion,0,5.6
12/24/1981,6:01:07,-22.045,-176.377,Earthquake,159.4,5.5
1/11/1982,6:49:19,13.945,124.407,Earthquake,33,5.9
1/23/1982,17:37:30,31.696,82.246,Earthquake,33,6.5
2/20/1982,13:26:50,-10.861,166.015,Earthquake,36,6.8
3/19/1982,0:17:52,-2.802,138.811,Earthquake,48,5.5
4/8/1982,11:40:31,-20.614,-174.181,Earthquake,41,5.5
4/25/1982,10:04:22,-15.055,167.38,Earthquake,119,5.7
5/30/1982,1:25:12,-5.207,152.494,Earthquake,66.4,5.7
6/18/1982,3:04:06,-34.023,58.37,Earthquake,10,5.5
7/10/1982,12:04:40,-55.985,146.843,Earthquake,10,5.5
8/7/1982,20:56:23,-11.143,115.418,Earthquake,33,6.4
9/2/1982,15:58:54,-39.753,176.886,Earthquake,33,5.6
9/18/1982,21:20:12,-26.916,-176.373,Earthquake,50,5.6
10/4/1982,15:41:09,-31.971,-178.514,Earthquake,65.9,5.6
11/10/1982,21:20:46,-15.488,-175.955,Earthquake,33,5.8
11/27/1982,9:55:39,50.205,147.727,Earthquake,622.3,5.6
12/17/1982,21:15:02,-26.674,-176.152,Earthquake,33,5.6
